Table,AP Delivery Zone ID,Lodgement Zone,Lodgement Zone State,To Postcode,Destination Zone Code,Destination Zone State,Description,Postcode Delivery Zone,State Classification,State Area,Postcode Delivery Zone Description
Delivery_Zone,DZ0001,V0,VIC,266,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,267,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,268,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,269,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,270,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,271,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,272,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,273,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,274,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,275,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,276,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,277,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,278,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,279,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,280,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,281,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,282,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,283,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,284,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,285,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,286,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,287,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,288,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,289,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,290,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,291,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,292,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,293,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,294,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,295,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,296,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,297,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,298,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,299,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2600,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2601,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2602,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2603,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2604,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2605,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2606,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2607,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2608,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2609,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
